# Mesh Name: TestMesh
# Node Count: 15000
# Link Count: 22736
# Path Count: 0
# Settings:
# MESH_NODES_COUNT: 15000
# MESH_ROUTERS_COUNT: 5000
# MESH_MAX_LINKS_PER_NODE: 8
# MESH_DEFAULT_BANDWIDTH: 10000.00
# MESH_DEFAULT_LATENCY: 0.00
# MESH_SIZE_X: 1800.00
# MESH_SIZE_Y: 1000.00
# MESH_MAX_LINK_DISTANCE: 20.00

NodeID,X,Y,Status,Type
0,686.00,673.00,1,0
1,814.00,463.00,1,0
2,357.00,837.00,1,0
3,1338.00,477.00,1,0
4,938.00,464.00,1,0
5,188.00,9.00,1,0
6,815.00,556.00,1,0
7,693.00,872.00,1,0
8,382.00,408.00,1,0
9,1554.00,658.00,1,0
10,1418.00,58.00,1,0
11,1112.00,392.00,1,0
12,1157.00,785.00,1,0
13,1449.00,146.00,1,0
14,871.00,552.00,1,0
15,651.00,509.00,1,0
16,1425.00,865.00,1,0
17,1173.00,135.00,1,0
18,1654.00,63.00,1,0
19,1412.00,992.00,1,0
20,1479.00,201.00,1,0
21,354.00,846.00,1,0
22,109.00,447.00,1,0
23,118.00,91.00,1,0
24,807.00,273.00,1,0
25,1702.00,825.00,1,0
26,883.00,214.00,1,0
27,618.00,192.00,1,0
28,351.00,267.00,1,0
29,290.00,374.00,1,0
30,1771.00,741.00,1,0
31,1084.00,749.00,1,0
32,1558.00,209.00,1,0
33,1484.00,12.00,1,0
34,1272.00,496.00,1,0
35,1357.00,503.00,1,0
36,49.00,711.00,1,0
37,1549.00,158.00,1,0
38,958.00,419.00,1,0
39,1602.00,365.00,1,0
40,1644.00,704.00,1,0
41,1342.00,79.00,1,0
42,1670.00,760.00,1,0
43,1071.00,621.00,1,0
44,1380.00,314.00,1,0
45,1548.00,903.00,1,0
46,607.00,232.00,1,0
47,1052.00,366.00,1,0
48,441.00,888.00,1,0
49,1778.00,65.00,1,0
50,985.00,735.00,1,0
51,968.00,786.00,1,0
52,398.00,269.00,1,0
53,1297.00,956.00,1,0
54,688.00,899.00,1,0
55,473.00,733.00,1,0
56,803.00,216.00,1,0
57,412.00,225.00,1,0
58,1128.00,436.00,1,0
59,998.00,60.00,1,0
60,1150.00,546.00,1,0
61,364.00,157.00,1,0
62,1578.00,968.00,1,0
63,323.00,571.00,1,0
64,457.00,254.00,1,0
65,1188.00,594.00,1,0
66,1741.00,908.00,1,0
67,780.00,492.00,1,0
68,1177.00,677.00,1,0
69,848.00,866.00,1,0
70,528.00,474.00,1,0
71,1551.00,531.00,1,0
72,1442.00,763.00,1,0
73,308.00,370.00,1,0
74,1751.00,307.00,1,0
75,631.00,301.00,1,0
76,253.00,747.00,1,0
77,211.00,984.00,1,0
78,1667.00,334.00,1,0
79,1307.00,924.00,1,0
80,940.00,896.00,1,0
81,70.00,634.00,1,0
82,204.00,603.00,1,0
83,1326.00,334.00,1,0
84,280.00,926.00,1,0
85,1552.00,209.00,1,0
86,952.00,503.00,1,0
87,1292.00,794.00,1,0
88,618.00,201.00,1,0
89,1365.00,170.00,1,0
90,1108.00,948.00,1,0
91,1671.00,713.00,1,0
92,447.00,282.00,1,0
93,1497.00,114.00,1,0
94,1569.00,605.00,1,0
95,1591.00,261.00,1,0
96,853.00,261.00,1,0
97,847.00,9.00,1,0
98,1664.00,373.00,1,0
99,743.00,497.00,1,0
100,852.00,895.00,1,0
101,1058.00,404.00,1,0
102,950.00,502.00,1,0
103,1551.00,369.00,1,0
104,455.00,68.00,1,0
105,339.00,915.00,1,0
106,1416.00,362.00,1,0
107,1229.00,415.00,1,0
108,397.00,678.00,1,0
109,1329.00,318.00,1,0
110,235.00,920.00,1,0
111,131.00,488.00,1,0
112,134.00,179.00,1,0
113,1298.00,750.00,1,0
114,504.00,193.00,1,0
115,1199.00,908.00,1,0
116,841.00,657.00,1,0
117,1465.00,191.00,1,0
118,160.00,216.00,1,0
119,712.00,215.00,1,0
120,1484.00,803.00,1,0
121,483.00,652.00,1,0
122,518.00,112.00,1,0
123,1267.00,515.00,1,0
124,1790.00,596.00,1,0
125,1185.00,426.00,1,0
126,1069.00,116.00,1,0
127,466.00,755.00,1,0
128,1447.00,764.00,1,0
129,457.00,552.00,1,0
130,310.00,457.00,1,0
131,660.00,751.00,1,0
132,314.00,125.00,1,0
133,294.00,626.00,1,0
134,1541.00,207.00,1,0
135,1194.00,977.00,1,0
136,1210.00,677.00,1,0
137,629.00,528.00,1,0
138,741.00,696.00,1,0
139,1795.00,931.00,1,0
140,45.00,580.00,1,0
141,109.00,866.00,1,0
142,1649.00,976.00,1,0
143,1573.00,696.00,1,0
144,1492.00,830.00,1,0
145,600.00,402.00,1,0
146,87.00,413.00,1,0
147,305.00,402.00,1,0
148,738.00,800.00,1,0
149,980.00,232.00,1,0
150,1607.00,574.00,1,0
151,961.00,369.00,1,0
152,1203.00,191.00,1,0
153,1050.00,744.00,1,0
154,1687.00,997.00,1,0
155,28.00,884.00,1,0
156,1378.00,737.00,1,0
157,1150.00,979.00,1,0
158,713.00,723.00,1,0
159,827.00,806.00,1,0
160,1154.00,628.00,1,0
161,408.00,841.00,1,0
162,41.00,66.00,1,0
163,795.00,931.00,1,0
164,466.00,328.00,1,0
165,515.00,225.00,1,0
166,454.00,77.00,1,0
167,546.00,858.00,1,0
168,1268.00,196.00,1,0
169,954.00,507.00,1,0
170,1794.00,982.00,1,0
171,1192.00,124.00,1,0
172,1120.00,494.00,1,0
173,903.00,785.00,1,0
174,618.00,130.00,1,0
175,1391.00,124.00,1,0
176,510.00,152.00,1,0
177,1317.00,151.00,1,0
178,818.00,265.00,1,0
179,483.00,436.00,1,0
180,393.00,598.00,1,0
181,1661.00,199.00,1,0
182,675.00,607.00,1,0
183,1657.00,295.00,1,0
184,204.00,364.00,1,0
185,1403.00,350.00,1,0
186,946.00,195.00,1,0
187,1674.00,418.00,1,0
188,489.00,929.00,1,0
189,404.00,259.00,1,0
190,811.00,147.00,1,0
191,335.00,522.00,1,0
192,99.00,53.00,1,0
193,1025.00,869.00,1,0
194,270.00,108.00,1,0
195,505.00,615.00,1,0
196,1659.00,318.00,1,0
197,1614.00,734.00,1,0
198,1726.00,224.00,1,0
199,1630.00,82.00,1,0
200,588.00,185.00,1,0
201,432.00,286.00,1,0
202,1180.00,258.00,1,0
203,105.00,421.00,1,0
204,339.00,909.00,1,0
205,233.00,302.00,1,0
206,608.00,768.00,1,0
207,776.00,60.00,1,0
208,1373.00,202.00,1,0
209,1729.00,843.00,1,0
210,1510.00,587.00,1,0
211,1458.00,721.00,1,0
212,905.00,273.00,1,0
213,1056.00,183.00,1,0
214,97.00,838.00,1,0
215,1065.00,437.00,1,0
216,423.00,49.00,1,0
217,523.00,755.00,1,0
218,1059.00,428.00,1,0
219,728.00,550.00,1,0
220,289.00,561.00,1,0
221,853.00,98.00,1,0
222,1530.00,29.00,1,0
223,758.00,503.00,1,0
224,1631.00,439.00,1,0
225,99.00,894.00,1,0
226,378.00,157.00,1,0
227,1015.00,284.00,1,0
228,182.00,423.00,1,0
229,419.00,631.00,1,0
230,413.00,85.00,1,0
231,1068.00,988.00,1,0
232,1286.00,792.00,1,0
233,743.00,498.00,1,0
234,1372.00,272.00,1,0
235,248.00,262.00,1,0
236,633.00,253.00,1,0
237,1712.00,515.00,1,0
238,83.00,222.00,1,0
239,1571.00,866.00,1,0
240,1461.00,70.00,1,0
241,512.00,392.00,1,0
242,1427.00,728.00,1,0
243,476.00,362.00,1,0
244,103.00,495.00,1,0
245,193.00,117.00,1,0
246,1532.00,414.00,1,0
247,1457.00,771.00,1,0
248,206.00,201.00,1,0
249,1669.00,130.00,1,0
250,1025.00,669.00,1,0
251,1544.00,10.00,1,0
252,1323.00,456.00,1,0
253,1278.00,558.00,1,0
254,430.00,249.00,1,0
255,1424.00,44.00,1,0
256,919.00,537.00,1,0
257,236.00,898.00,1,0
258,817.00,112.00,1,0
259,460.00,472.00,1,0
260,759.00,254.00,1,0
261,1541.00,244.00,1,0
262,1068.00,399.00,1,0
263,1615.00,226.00,1,0
264,752.00,636.00,1,0
265,308.00,777.00,1,0
266,1705.00,453.00,1,0
267,1739.00,228.00,1,0
268,1509.00,17.00,1,0
269,1786.00,292.00,1,0
270,1418.00,563.00,1,0
271,336.00,937.00,1,0
272,1652.00,772.00,1,0
273,236.00,421.00,1,0
274,436.00,96.00,1,0
275,1693.00,547.00,1,0
276,502.00,187.00,1,0
277,1791.00,722.00,1,0
278,1786.00,158.00,1,0
279,300.00,538.00,1,0
280,1394.00,9.00,1,0
281,1667.00,100.00,1,0
282,662.00,158.00,1,0
283,1680.00,723.00,1,0
284,1128.00,819.00,1,0
285,615.00,146.00,1,0
286,534.00,703.00,1,0
287,1284.00,186.00,1,0
288,675.00,272.00,1,0
289,1159.00,63.00,1,0
290,520.00,204.00,1,0
